Name,Mj,Mj_err1,Mj_err2,Rj,Rj_err1,Rj_err2,P,e,e_err,Ms,Ms_err1,Ms_err2,Rs,Rs_err1,Rs_err2,Teff,T_err,FeH,FeH_err,Density_cgs,Density_err_upper_cgs,Density_err_lower_cgs
TOI-852b,53.7,1.4,1.3,0.829,0.037,0.035,4.94563,0.0,0.0,1.291,0.029,0.03,1.715,0.034,0.036,5750.0,47.0,0.335,0.08,116.88154744058821,15.94389979795879,15.072038433264513
TOI-2844b,53.8,5.0,5.1,0.775,0.048,0.044,3.55242,0.429,0.048,1.585,0.071,0.073,1.785,0.087,0.081,6900.0,220.0,0.061,0.12,143.3218570786081,29.775538115787544,27.93709389720197
AD3116b,54.6,6.8,6.8,0.954,0.07,0.065,1.982795,0.144,0.045,0.28,0.03,0.032,0.288,0.021,0.02,3165.0,53.0,0.165,0.094,77.97991856275185,19.72230733574601,18.664934425627035
TOI-3577b,59.1,6.2,8.4,0.844,0.092,0.08,5.266758,0.0054,0.0078,1.29,0.21,0.27,1.64,0.11,0.11,6510.0,870.0,-0.21,0.44,121.89766867867392,41.86324525830853,38.751615328119044
RIK72b,59.2,6.8,6.7,3.1,0.31,0.31,97.76,0.1079,0.0116,0.439,0.044,0.044,0.961,0.096,0.096,3349.0,142.0,0.0,0.0,2.4641769107381504,0.7915875866858533,0.790108781361591
TOI-811b,59.9,13.0,8.6,1.262,0.062,0.062,25.16551,0.407,0.046,1.323,0.053,0.069,1.27,0.064,0.092,6107.0,77.0,0.402,0.090,36.955919835954894,9.695115392588193,7.603896365312972
WASP-30b,61.7,1.5,1.1,0.964,0.032,0.028,4.156775,0.0023,0.0015,1.226,0.046,0.034,1.423,0.038,0.03,6208.0,85.0,0.032,0.088,85.40618464410564,8.754953890041918,7.596201609458192
TOI-263b,61.6,4.0,4.0,0.91,0.07,0.07,0.5568,0.017,0.0028,0.44,0.03,0.03,0.44,0.03,0.03,3471.0,100.0,0.00,0.09,101.36587974046273,24.30055389931541,24.30055389931541
LHS6343c,62.9,2.3,2.3,0.833,0.021,0.021,12.713,0.056,0.032,0.37,0.009,0.009,0.378,0.008,0.008,3130.0,20.0,0.04,0.08,134.94316745942857,11.336033898450356,11.336033898450356
TOI-569b,63.8,1.0,1.0,0.752,0.022,0.022,6.5562,0.0,0.0,1.203,0.033,0.064,1.479,0.028,0.028,5695.0,76.0,0.386,0.083,186.03832284917823,16.5861662817663,16.5861662817663
TOI-2119b,64.4,2.2,2.3,1.083,0.031,0.027,7.2008,0.339,0.015,0.527,0.02,0.021,0.499,0.012,0.012,3647.0,48.0,0.078,0.08,62.86888472911218,5.810223412314062,5.210685253443219
CoRoT-15b,64.0,4.7,5.0,0.943,0.12,0.073,3.06012,0.042,0.039,1.29,0.11,0.12,1.401,0.14,0.094,6340.0,180.0,0.09,0.19,94.64118173939237,36.79266753160312,23.1895598194882
KOI-415b,64.8,6.2,2.0,0.86,0.026,0.024,166.7878,0.7003,0.0031,0.931,0.14,0.04,1.355,0.039,0.037,5783.0,84.0,-0.240,0.10,126.33244774155148,16.655073858602005,11.272502693752424
TOI-1982b,65.85,2.75,2.72,1.08,0.04,0.04,17.17245,0.272,0.014,1.41,0.08,0.08,1.51,0.05,0.05,6325.0,110.0,-0.10,0.09,64.82160372717651,7.6943294197830205,7.683989249056306
TOI-629b,66.98,2.96,2.95,1.11,0.05,0.05,8.718,0.298,0.008,2.16,0.13,0.13,2.37,0.11,0.11,9100.0,200.0,0.10,0.15,60.73114448890655,8.634607055274998,8.631793092654583
TOI-4737b,67.5,3.2,3.3,0.816,0.052,0.044,9.320278,0.018,0.022,1.402,0.083,0.085,1.568,0.076,0.062,6330.0,220.0,0.25,0.11,154.05243073658963,30.343208402108637,26.033467688424437
TOI-2543b,67.62,3.45,3.45,0.95,0.09,0.09,7.542776,0.009,0.003,1.29,0.08,0.08,1.86,0.15,0.15,6060.0,82.0,-0.28,0.10,97.80016990496316,28.240161945950337,28.240161945950337
HIP33609b,68.0,7.4,7.1,1.58,0.074,0.07,39.47181,0.56,0.031,2.383,0.1,0.095,1.863,0.087,0.082,10400.0,800.0,-0.01,0.20,21.378287366592772,3.7993606990905913,3.6133261579949503
LP261-75b,68.09,2.1,2.1,0.898,0.015,0.015,1.882,0.007,0.0,0.3,0.015,0.015,0.313,0.005,0.005,3100.0,50.0,0.0,0.0,116.59759240797604,6.8608033010295095,6.8608033010295095
NGTS-19b,69.5,5.7,5.4,1.034,0.055,0.053,17.8397,0.3767,0.0061,0.807,0.038,0.043,0.896,0.04,0.035,4716.0,39.0,0.11,0.074,77.95759758572594,13.986898927716336,13.431057642716317
TOI-2336b,69.9,2.3,2.3,1.05,0.04,0.04,7.71198,0.01,0.006,1.41,0.08,0.08,1.781,0.059,0.059,6550.0,100.0,0.0,0.03,74.87632785717551,8.90490398020117,8.90490398020117
EPIC201702477b,70.9,2.6,2.4,0.83,0.04,0.036,40.73746,0.2282,0.0033,0.951,0.05,0.051,1.013,0.032,0.031,5542.0,62.0,0.014,0.033,153.76136182098892,22.93451502324088,20.673439955248934
CoRoT-34b,71.4,8.9,8.6,1.09,0.17,0.16,2.11853,0.0,0.00,1.66,0.08,0.15,1.85,0.29,0.25,7820.0,160.0,-0.20,0.20,68.36817335324172,33.10449884026851,31.212960312806608
TOI-2533b,72.0,3.0,3.0,0.85,0.04,0.03,6.6847,0.195,0.131,1.02,0.06,0.07,1.11,0.01,0.01,6180.0,80.0,-0.3,0.20,145.38211345084517,21.3997863358581,16.542404429137406
NGTS-7Ab,75.5,3.0,13.0,1.38,0.14,0.13,0.675,0.0,0.0,0.24,0.03,0.03,0.61,0.06,0.06,3359.0,106.0,0.0,0.0,35.624186121446755,10.93415770405909,11.78915671766869
TOI-148b,77.1,5.8,5.8,0.81,0.06,0.06,4.87,0.005,0.004,0.97,0.12,0.12,1.2,0.067,0.054,5900.0,140.0,-0.24,0.25,179.90141535553863,42.206656548881114,42.206656548881114
