Name             Mj      Mj_err1 Mj_err2 Rj      Rj_err1 Rj_err2  P        e      e_err    Ms   Ms_err1 Ms_err2   Rs     Rs_err1 Rs_err2  Teff     T_err  FeH   FeH_err 
OGLE-TR-123b    89.0    11.5  11.5   1.29    0.09  0.09   1.80     0      -        1.29  -0.26  0.26    1.55   -0.10  0.10    6700    300   -      -
TOI-694b        89.0    5.3   5.3    1.11    0.02  0.02   48.05    0.519  0.001    0.97  -0.04  0.05    1.00   -0.01  0.01    5496    87    0.21   0.08
TOI-1608b       90.7    3.7   3.7    1.21    0.06  0.06   2.4727   0.041  0.024    1.38  -0.00  0.08    2.222  -0.076 0.0076  5950    100   0.10   0.30
TOI-5467b       91.6    2.8   2.8    1.126   0.051 0.049   2.6571   0.0439 0.0006   1.512 -0.063 0.060   1.531  -0.049 0.053   6740    160   0.28   0.09
KOI-607b        95.1    3.3   3.4    1.09    0.09 0.06   5.89     0.395  0.009    0.99  -0.05  0.05    0.92   -0.03  0.03    5418    87    0.38   0.08
EBLMJ1219-39b  95.4     1.9   2.5   1.14     0.05  0.07    6.76     0.055  0.000    0.83  -0.03  0.03    0.81   -0.02  0.04    5412    81    -0.21  0.07
TIC-320687387B 96.2     1.9   2.0   1.14     0.02  0.02   29.77    0.366  0.003    1.08  -0.03  0.03    1.16   -0.02  0.02    5780    80    0.30   0.08
OGLE-TR-122b    96.4    9.4   9.4    1.17    0.23 0.13 7.27     0.205  0.008    0.98  -0.14  0.14    1.05   -0.09  0.20    5700    300   0.15   0.36
TOI-1213b       97.5    4.4   4.2   1.66     0.78  0.55  27.22    0.498  0.003    0.99  -0.06  0.07    0.99   -0.04  0.04    5590    150   0.25   0.14
K2-76b          98.7    2.0   2.0    0.89    0.05  0.03 11.99    0.255  0.007    0.96  -0.03  0.03    1.17   -0.03  0.06    5747    70    0.01   0.04
CoRoT-101186644 100.6   11.5  11.5   1.01    0.25  0.06 20.68    0.402  0.006    1.20  -0.20  0.20    1.07    0.00  0.07    6090    200   0.20   0.20
TOI-3122b       101.5   4.1   4.8    1.235   0.075 0.057 6.1836   0.4704 0.008    1.247 -0.091 0.074   1.336  -0.045 0.062   6120    220   0.29   0.11
TOI-4759b       102.0   7.8   5.3    0.993   0.082 0.075  9.65779  0.2424 0.0032   1.242 -0.097 0.15    1.927   0.00  0.11    5680    150   0.28   0.17
J2343+29Ab      102.7   7.3   7.3    1.24    0.07  0.07  16.95    0.161  0.002    0.86  -0.10  0.10    0.85   -0.06  0.05    5150    90    0.07   0.17
EBLMJ0954-23Ab 102.8    5.9   6.0    0.98    0.17  0.17   7.57     0.042  0.001    1.17  -0.08  0.08    1.23    0.00  0.17    6406    124   -0.01  0.14
KOI-686b        103.4   4.8   4.8    1.22    0.04  0.04   52.51    0.556  0.004    0.98  -0.07  0.07    1.04   -0.03  0.03    5834    100   -0.06  0.13
TIC-220568520b  107.2   5.2   5.2    1.25    0.02  0.02   18.56    0.096  0.003    1.03  -0.04  0.04    1.01   -0.01  0.01    5589    81    0.26   0.07
TOI-4462b       107.6   6.6   5.8   1.286    0.071 0.058 4.9133   0.0202 0.0037   1.36  -0.11  0.13    2.149  -0.064 0.085   5960    120   0.09   0.16
TOI-5240b       127.6   5.0   5.0    1.7     0.11  0.11   4.17930  0.0109 0.012    1.744 -0.096 0.096   2.38   -0.12  0.12    7340    360   -0.13  0.19
