time,baseline,rv,model_time,model,residuals
,-1.5798749003260957,,2459135.552336145,-0.4262573668892654,
,-1.5798749003260957,,2459136.3012381503,-8.41511134306814,
,-1.5798749003260957,,2459137.0501401555,-4.729030171902405,
,-1.5798749003260957,,2459137.79904216,5.593055782104771,
,-1.5798749003260957,,2459138.5479441653,8.110350318129106,
,-1.5798749003260957,,2459139.2968461704,-0.7171093051834453,
,-1.5798749003260957,,2459140.0457481756,-8.485534386686872,
,-1.5798749003260957,,2459140.7946501803,-4.481817150778476,
,-1.5798749003260957,,2459141.5435521854,5.816365591478475,
,-1.5798749003260957,,2459142.2924541906,7.994014478922414,
,-1.5798749003260957,,2459143.041356195,-1.0070725075026037,
,-1.5798749003260957,,2459143.7902582004,-8.546571370509968,
,-1.5798749003260957,,2459144.5391602055,-4.22953270014474,
,-1.5798749003260957,,2459145.28806221,6.033165459100273,
,-1.5798749003260957,,2459146.0369642153,7.868704411308419,
,-1.5798749003260957,,2459146.7858662205,-1.2958258962758828,
,-1.5798749003260957,,2459147.5347682256,-8.598155203860983,
,-1.5798749003260957,,2459148.2836702303,-3.972454058713163,
,-1.5798749003260957,,2459149.0325722354,6.243206777350776,
,-1.5798749003260957,,2459149.7814742406,7.734565982629196,
,-1.5798749003260957,,2459150.5303762453,-1.5830500794214155,
,-1.5798749003260957,,2459151.2792782504,-8.640228929836445,
,-1.5798749003260957,,2459152.0281802556,-3.710864101973368,
,-1.5798749003260957,,2459152.77708226,6.446248566302633,
,-1.5798749003260957,,2459153.5259842654,7.591755103714558,
,-1.5798749003260957,,2459154.2748862705,-1.8684277672069407,
,-1.5798749003260957,,2459155.0237882757,-8.672745805973754,
,-1.5798749003260957,,2459155.7726902803,-3.4450511002833952,
,-1.5798749003260957,,2459156.5215922855,6.642057781638197,
,-1.5798749003260957,,2459157.2704942906,7.44043750194484,
,-1.5798749003260957,,2459158.0193962953,-2.1516440563837413,
,-1.5798749003260957,,2459158.7682983004,-8.69566933751287,
,-1.5798749003260957,,2459159.5172003056,-3.1753083534872975,
,-1.5798749003260957,,2459160.2661023107,6.830409598149965,
,-1.5798749003260957,,2459161.0150043154,7.280788542451541,
,-1.5798749003260957,,2459161.7639063206,-2.4323867979035527,
,-1.5798749003260957,,2459162.5128083257,-8.708973332362731,
,-1.5798749003260957,,2459163.2617103304,-2.9019339422550403,
,-1.5798749003260957,,2459164.0106123355,7.011087680317657,
,-1.5798749003260957,,2459164.7595143407,7.1129929568422225,
,-1.5798749003260957,,2459165.5084163453,-2.710346886954569,
,-1.5798749003260957,,2459166.2573183505,-8.712641924205455,
,-1.5798749003260957,,2459167.0062203556,-2.6252303402180557,
,-1.5798749003260957,,2459167.755122361,7.183884472661103,
,-1.5798749003260957,,2459168.5040243655,6.937244651831827,
,-1.5798749003260957,,2459169.2529263706,-2.985218653504153,
,-1.5798749003260957,,2459170.0018283757,-8.706669599142348,
,-1.5798749003260957,,2459170.7507303804,-2.345504159886124,
,-1.5798749003260957,,2459171.4996323856,7.34860143605946,
,-1.5798749003260957,,2459172.2485343907,6.753746437236529,
,-1.5798749003260957,,2459172.9974363954,-3.256700110159159,
,-1.5798749003260957,,2459173.7463384005,-8.691061206434659,
,-1.5798749003260957,,2459174.4952404057,-2.0630657768770835,
,-1.5798749003260957,,2459175.244142411,7.5050493037371515,
,-1.5798749003260957,,2459175.9930444155,6.562709786564241,
,-1.5798749003260957,,2459176.7419464206,-3.524493318761807,
,-1.5798749003260957,,2459177.490848426,-8.665831959550832,
,-1.5798749003260957,,2459178.2397504305,-1.7782290058759416,
,-1.5798749003260957,,2459178.9886524356,7.653048323494657,
,-1.5798749003260957,,2459179.7375544407,6.364354540011075,
,-1.5798749003260957,,2459180.4864564454,-3.7883046550489197,
,-1.5798749003260957,,2459181.2353584506,-8.631007432444875,
,-1.5798749003260957,,2459181.9842604557,-1.491310758187606,
,-1.5798749003260957,,2459182.733162461,7.792428463437102,
,-1.5798749003260957,,2459183.4820644655,6.158908689421211,
,-1.5798749003260957,,2459184.2309664707,-4.047845174400631,
,-1.5798749003260957,,2459184.979868476,-8.586623537527348,
,-1.5798749003260957,,2459185.7287704805,-1.2026307075674507,
,-1.5798749003260957,,2459186.4776724856,7.923029644240543,
,-1.5798749003260957,,2459187.226574491,5.94660801522302,
,-1.5798749003260957,,2459187.9754764955,-4.302830834742884,
,-1.5798749003260957,,2459188.7243785006,-8.532726503671846,
,-1.5798749003260957,,2459189.4732805057,-0.9125108899652119,
,-1.5798749003260957,,2459190.222182511,8.044701921137307,
,-1.5798749003260957,,2459190.9710845156,5.72769588155221,
,-1.5798749003260957,,2459191.7199865207,-4.552982860737633,
,-1.5798749003260957,,2459192.468888526,-8.469372834480538,
,-1.5798749003260957,,2459193.2177905305,-0.6212754140485424,
,-1.5798749003260957,,2459193.9666925357,8.157305677114133,
,-1.5798749003260957,,2459194.715594541,5.502422846931817,
,-1.5798749003260957,,2459195.4644965455,-4.7980279508209085,
,-1.5798749003260957,,2459196.2133985506,-8.396629264502899,
,-1.5798749003260957,,2459196.962300556,-0.32925005219306946,
,-1.5798749003260957,,2459197.711202561,8.260711802755553,
,-1.5798749003260957,,2459198.4601045656,5.2710464443525975,
,-1.5798749003260957,,2459199.2090065707,-5.037698631896867,
,-1.5798749003260957,,2459199.957908576,-8.31457269928544,
,-1.5798749003260957,,2459200.7068105806,-0.03676188867837654,
,-1.5798749003260957,,2459201.4557125857,8.354801833494381,
,-1.5798749003260957,,2459202.204614591,5.033830799704144,
,-1.5798749003260957,,2459202.953516596,-5.271733477783413,
,-1.5798749003260957,,2459203.7024186007,-8.223290156352432,
,-1.5798749003260957,,2459204.451320606,0.25586106280146986,
,-1.5798749003260957,,2459205.200222611,8.439468126418307,
,-1.5798749003260957,,2459205.9491246156,4.791046354191797,
,-1.5798749003260957,,2459206.698026621,-5.499877385933783,
,-1.5798749003260957,,2459207.446928626,-8.122878666844,
,-1.5798749003260957,,2459208.1958306306,0.5482901758122763,
,-1.5798749003260957,,2459208.9447326357,8.514613962863494,
,-1.5798749003260957,,2459209.693634641,4.542969498711071,
,-1.5798749003260957,,2459210.442536646,-5.721881860914082,
,-1.5798749003260957,,2459211.1914386507,-8.013445226699035,
,-1.5798749003260957,,2459211.940340656,0.8401966816911582,
,-1.5798749003260957,,2459212.689242661,8.580153690039792,
,-1.5798749003260957,,2459213.4381446657,4.289882293692114,
,-1.5798749003260957,,2459214.187046671,-5.937505221151207,
,-1.5798749003260957,,2459214.935948676,-7.895106652632256,
,-1.5798749003260957,,2459215.6848506806,1.131251942844691,
,-1.5798749003260957,,2459216.433752686,8.636012802144936,
,-1.5798749003260957,,2459217.182654691,4.0320720861971155,
,-1.5798749003260957,,2459217.931556696,-6.146512877927705,
,-1.5798749003260957,,2459218.6804587008,-7.767989520539476,
,-1.5798749003260957,,2459219.429360706,1.4211279130894874,
,-1.5798749003260957,,2459220.178262711,8.682128050014281,
,-1.5798749003260957,,2459220.9271647157,3.769831191687482,
,-1.5798749003260957,,2459221.676066721,-6.348677534812494,
,-1.5798749003260957,,2459222.424968726,-7.6322300141802355,
,-1.5798749003260957,,2459223.1738707307,1.7094974620240895,
,-1.5798749003260957,,2459223.922772736,8.718447502114039,
